aX,aY,aZ,gX,gY,gZ
0.056,-0.648,2.162,80.017,-12.207,-1.038
0.005,-0.683,2.393,96.558,-16.296,0.427
-0.044,-0.692,2.661,119.019,-16.785,4.883
-0.061,-0.681,2.874,147.827,-14.465,11.841
-0.115,-0.700,3.048,183.960,-12.573,6.409
-0.031,-0.710,3.202,210.754,-21.179,-0.977
-0.053,-0.693,3.218,242.310,-41.443,-0.671
-0.069,-0.633,3.014,282.349,-60.852,-5.310
-0.053,-0.471,2.675,319.885,-82.092,-11.108
-0.035,-0.251,2.358,351.074,-96.985,-11.963
0.031,0.002,1.978,377.747,-98.816,-5.371
0.104,0.289,1.540,406.494,-88.196,5.066
0.130,0.532,1.030,426.880,-71.289,10.010
0.120,0.704,0.592,436.401,-52.612,6.531
0.001,0.837,0.288,435.181,-40.588,4.517
-0.119,0.856,0.125,424.744,-33.630,5.249
-0.106,0.688,0.070,419.250,-35.400,9.644
-0.129,0.613,0.038,419.006,-31.982,17.761
-0.142,0.652,-0.110,419.922,-9.888,19.348
-0.109,0.666,-0.334,416.077,15.076,17.944
-0.061,0.592,-0.538,405.945,23.926,13.916
-0.026,0.489,-0.878,395.569,13.855,2.930
-0.000,0.311,-1.258,375.793,-13.306,-14.587
-0.004,0.152,-1.430,343.140,-53.772,-31.738
0.024,0.223,-1.436,296.936,-80.566,-37.231
0.108,0.285,-1.498,259.216,-79.041,-29.724
0.115,0.187,-1.716,234.802,-58.044,-12.329
0.140,-0.035,-1.916,206.482,-35.767,7.751
0.217,-0.175,-1.947,165.405,-15.625,29.663
0.335,-0.194,-1.766,114.563,0.854,41.687
0.429,-0.228,-1.553,73.242,10.376,41.870
0.455,-0.296,-1.416,44.128,11.230,34.912
0.446,-0.386,-1.311,23.071,3.113,25.085
0.423,-0.435,-1.213,5.005,-8.667,14.526
0.372,-0.467,-1.107,-13.123,-16.113,5.737
0.351,-0.533,-0.953,-26.550,-18.677,-1.038
0.302,-0.600,-0.838,-28.381,-16.357,-4.272
0.240,-0.695,-0.803,-24.048,-11.047,-5.676
0.166,-0.751,-0.783,-21.484,-5.615,-4.272
0.109,-0.776,-0.746,-24.475,-0.488,-1.831
0.014,-0.800,-0.688,-32.532,3.296,2.625
-0.005,-0.881,-0.606,-44.983,6.165,10.559
0.024,-0.949,-0.470,-55.847,1.343,17.273
0.052,-0.996,-0.318,-60.425,-2.014,18.311
0.102,-1.018,-0.225,-55.664,-8.240,13.672
0.120,-1.022,-0.221,-42.725,-13.245,9.949
0.095,-1.006,-0.249,-29.541,-17.395,5.310
0.075,-0.999,-0.300,-20.691,-17.395,2.136
0.071,-1.016,-0.312,-15.259,-14.954,2.197
0.062,-1.024,-0.309,-13.550,-7.751,3.113
0.058,-1.025,-0.326,-11.414,0.549,3.845
0.042,-1.022,-0.340,-9.705,6.592,4.517
0.041,-0.998,-0.349,-9.521,11.719,5.432
0.024,-0.988,-0.368,-9.949,14.343,5.493
0.026,-0.981,-0.353,-11.353,10.498,5.005
0.034,-0.973,-0.331,-10.315,5.005,3.479
0.027,-0.972,-0.338,-5.920,2.930,1.038
0.022,-0.965,-0.346,-1.465,1.648,-1.343
0.012,-0.957,-0.373,2.319,1.099,-2.930
0.003,-0.942,-0.386,3.967,1.038,-4.333
-0.017,-0.937,-0.395,4.211,1.526,-3.174
-0.028,-0.943,-0.409,4.700,2.930,-0.732
-0.035,-0.959,-0.398,4.211,6.165,2.563
-0.018,-0.947,-0.401,3.601,12.207,5.920
-0.012,-0.937,-0.424,3.723,15.747,8.301
-0.007,-0.939,-0.429,2.869,12.878,7.690
0.014,-0.929,-0.434,1.099,8.301,7.080
0.016,-0.937,-0.442,1.587,4.761,3.174
0.026,-0.934,-0.415,0.793,3.052,2.258
0.048,-0.951,-0.391,1.282,3.296,1.831
0.069,-0.942,-0.396,4.089,5.737,0.854
0.063,-0.951,-0.403,6.470,5.432,-0.305
0.069,-0.947,-0.407,6.409,1.648,-2.625
0.061,-0.934,-0.430,6.226,-1.099,-2.258
0.039,-0.923,-0.458,5.249,-1.770,-0.854
0.038,-0.920,-0.453,2.136,-0.671,0.793
0.055,-0.939,-0.449,0.000,0.366,2.502
0.063,-0.944,-0.445,-1.404,-0.122,3.174
0.073,-0.937,-0.432,-2.502,-0.671,3.540
0.070,-0.920,-0.451,-1.526,-0.488,1.160
0.063,-0.921,-0.459,-0.977,-2.258,-0.610
0.051,-0.932,-0.442,-1.892,-4.578,-2.136
0.053,-0.941,-0.415,-3.235,-3.540,-2.319
0.048,-0.951,-0.395,-2.380,-2.014,-1.831
0.045,-0.946,-0.402,-0.122,0.427,-1.526
0.024,-0.916,-0.432,2.075,2.441,-1.831
0.002,-0.910,-0.454,2.502,2.747,-1.953
-0.002,-0.930,-0.447,1.221,0.427,-1.709
0.002,-0.944,-0.422,-0.061,-0.732,-1.282
0.012,-0.958,-0.415,0.183,0.244,-1.038
0.034,-0.963,-0.415,0.916,1.343,-1.465
0.041,-0.948,-0.424,1.343,1.709,-2.930
0.036,-0.932,-0.427,0.793,0.671,-4.822
0.030,-0.938,-0.433,0.244,-0.366,-5.859
0.015,-0.934,-0.430,-0.305,0.366,-5.981
0.006,-0.931,-0.420,-1.099,2.258,-5.554
-0.018,-0.934,-0.401,-1.892,3.113,-3.784
-0.015,-0.939,-0.388,-2.258,2.869,-0.549
0.006,-0.949,-0.389,-1.038,3.235,2.075
0.019,-0.961,-0.393,0.244,3.906,3.296
0.026,-0.956,-0.386,0.854,4.028,3.113
0.022,-0.962,-0.373,1.099,2.930,2.014
0.019,-0.959,-0.368,1.892,0.916,1.282
0.013,-0.962,-0.384,2.563,-0.549,0.671
0.014,-0.960,-0.392,3.296,-1.099,0.183
0.005,-0.958,-0.414,3.174,-0.061,-0.427
-0.003,-0.949,-0.423,2.441,1.465,0.305
-0.006,-0.936,-0.420,1.099,2.869,1.404
-0.002,-0.937,-0.406,1.160,3.540,3.113
-0.002,-0.938,-0.400,1.953,5.127,4.578
0.013,-0.943,-0.418,2.869,6.897,4.578
0.016,-0.932,-0.421,2.502,4.639,3.052
0.011,-0.928,-0.426,2.258,1.404,1.160
0.003,-0.938,-0.434,2.075,-1.221,0.427
0.005,-0.942,-0.429,1.953,-1.831,0.977
0.006,-0.929,-0.433,1.953,1.343,2.380
0.027,-0.930,-0.426,1.770,4.089,3.845
0.044,-0.944,-0.431,1.648,2.991,3.845
0.062,-0.949,-0.423,0.366,0.000,2.075

0.202,-0.685,2.235,81.970,47.119,6.287
0.255,-0.774,2.479,104.248,42.114,1.770
0.195,-0.782,2.699,130.371,22.278,-8.728
0.152,-0.809,2.909,158.325,-3.052,-19.287
0.178,-0.837,3.030,191.895,-27.771,-25.391
0.186,-0.852,3.046,231.323,-42.725,-30.945
0.199,-0.850,2.885,272.888,-39.368,-36.926
0.074,-0.692,2.721,308.411,-30.334,-42.053
0.077,-0.559,2.557,335.144,-27.405,-40.405
-0.000,-0.383,2.367,362.183,-33.997,-38.879
0.099,-0.256,2.146,384.155,-44.128,-34.790
0.068,0.002,1.904,400.208,-57.068,-38.879
0.052,0.196,1.607,414.185,-62.500,-45.898
0.091,0.388,1.296,425.781,-64.209,-62.622
0.152,0.563,0.983,430.054,-62.317,-65.369
0.158,0.707,0.666,425.049,-61.829,-62.744
0.158,0.741,0.395,415.344,-58.472,-59.998
0.142,0.728,0.188,400.940,-54.504,-61.646
0.077,0.722,0.008,384.644,-46.082,-57.678
0.097,0.680,-0.188,366.150,-37.109,-50.171
0.092,0.623,-0.467,350.220,-36.133,-42.419
0.103,0.541,-0.748,333.496,-43.152,-33.875
0.170,0.406,-0.989,310.974,-51.331,-27.283
0.179,0.303,-1.142,282.166,-57.007,-25.574
0.114,0.329,-1.329,255.554,-57.129,-23.926
0.059,0.229,-1.528,233.887,-54.260,-20.630
0.046,0.112,-1.618,203.979,-50.903,-15.259
0.084,0.021,-1.640,171.387,-46.875,-6.775
0.082,-0.069,-1.657,144.226,-38.147,0.488
0.111,-0.118,-1.659,120.178,-27.405,4.211
0.084,-0.159,-1.642,98.389,-20.447,7.141
0.116,-0.236,-1.605,77.393,-18.005,11.047
0.157,-0.321,-1.534,57.678,-22.522,13.672
0.199,-0.425,-1.435,37.537,-28.381,11.902
0.235,-0.491,-1.325,20.325,-32.288,8.545
0.232,-0.546,-1.228,7.568,-33.569,5.127
0.212,-0.586,-1.161,-0.916,-30.701,3.479
0.169,-0.604,-1.109,-10.620,-28.198,2.197
0.124,-0.636,-1.011,-22.888,-27.588,2.380
0.094,-0.713,-0.874,-31.860,-24.475,3.357
0.107,-0.807,-0.758,-35.461,-15.015,3.784
0.106,-0.850,-0.637,-35.278,-5.371,1.953
0.056,-0.884,-0.552,-36.072,2.075,-1.404
0.027,-0.906,-0.462,-38.696,0.061,-4.761
-0.009,-0.925,-0.383,-39.734,-10.620,-3.845
-0.009,-0.952,-0.339,-39.063,-20.630,-1.221
-0.020,-0.996,-0.307,-36.743,-23.132,2.869
-0.004,-1.020,-0.279,-33.630,-18.738,7.202
0.023,-1.018,-0.275,-27.344,-11.047,10.437
0.053,-1.015,-0.278,-19.226,-3.723,11.353
0.053,-1.029,-0.289,-10.437,1.465,9.705
0.018,-1.009,-0.338,-3.052,9.277,6.348
-0.012,-0.972,-0.390,-0.366,13.672,0.854
-0.082,-0.937,-0.394,-1.770,8.850,-5.615
-0.114,-0.942,-0.371,-6.409,-0.183,-9.827
-0.087,-0.969,-0.327,-9.155,-9.399,-9.766
-0.068,-0.981,-0.296,-8.240,-16.052,-8.789
-0.050,-0.979,-0.320,-3.540,-14.893,-5.920
-0.034,-0.972,-0.351,-0.793,-10.986,-2.747
-0.046,-0.956,-0.349,-1.038,-6.653,-0.122
-0.035,-0.963,-0.339,-1.770,-0.549,2.686
-0.010,-0.981,-0.335,-0.977,3.967,5.310
0.012,-0.986,-0.357,0.549,6.958,6.287
0.023,-0.964,-0.393,1.160,6.653,5.371
0.025,-0.956,-0.412,-0.366,1.587,2.380
0.013,-0.958,-0.398,-2.563,-3.906,0.549
0.006,-0.961,-0.382,-3.113,-3.174,-0.732
0.023,-0.984,-0.382,-1.221,0.244,-1.282
0.023,-0.975,-0.381,0.244,2.686,-2.686
0.028,-0.968,-0.395,1.526,4.578,-4.150
0.010,-0.947,-0.405,1.282,2.747,-6.409
-0.013,-0.938,-0.392,-0.244,-1.160,-6.470
-0.026,-0.953,-0.372,-1.221,-2.808,-3.479
-0.030,-0.948,-0.365,-0.793,-0.305,-0.732
-0.026,-0.958,-0.387,-0.183,3.662,0.854
-0.020,-0.957,-0.411,0.244,5.127,1.465
-0.011,-0.957,-0.419,-0.977,3.784,1.160
-0.013,-0.955,-0.410,-3.845,2.014,0.366
0.004,-0.949,-0.397,-6.165,0.793,0.732
0.003,-0.949,-0.401,-5.737,-0.183,0.000
-0.009,-0.947,-0.407,-5.371,-1.526,-0.610
-0.014,-0.947,-0.417,-6.042,-3.052,-0.854
-0.029,-0.950,-0.419,-7.446,-4.639,-0.916
-0.032,-0.944,-0.401,-9.277,-5.432,-1.343
-0.043,-0.945,-0.374,-9.338,-4.700,-1.160
-0.038,-0.962,-0.353,-7.996,-2.747,-0.732
-0.039,-0.970,-0.353,-5.432,-1.343,-0.916
-0.044,-0.969,-0.359,-3.906,-1.587,-1.953
-0.035,-0.969,-0.373,-3.662,-1.892,-2.014
-0.018,-0.967,-0.371,-3.357,-3.418,-1.892
-0.010,-0.968,-0.378,-1.831,-3.296,-2.563
-0.008,-0.969,-0.392,-0.732,-0.732,-2.930
0.002,-0.966,-0.398,-0.732,1.282,-2.441
0.007,-0.954,-0.403,-0.366,1.404,-3.418
-0.014,-0.939,-0.402,-0.488,0.793,-5.066
-0.033,-0.942,-0.406,-1.160,-0.671,-5.188
-0.049,-0.935,-0.398,-2.441,-2.869,-4.150
-0.062,-0.938,-0.370,-3.845,-4.822,-2.258
-0.055,-0.956,-0.360,-3.052,-4.639,0.549
-0.039,-0.974,-0.356,-2.014,-3.174,2.625
-0.024,-0.977,-0.344,-2.563,-1.465,2.502
-0.016,-0.981,-0.345,-2.686,-0.122,1.343
-0.007,-0.974,-0.331,-3.113,-1.099,0.610
-0.017,-0.984,-0.331,-2.380,-2.991,0.244
-0.015,-0.986,-0.349,-1.221,-3.113,0.061
-0.015,-0.977,-0.357,-1.465,-2.380,-0.427
-0.013,-0.980,-0.366,-1.587,-1.160,-0.305
-0.009,-0.975,-0.360,-2.075,0.244,0.244
-0.004,-0.975,-0.348,-2.258,1.770,0.732
-0.009,-0.975,-0.338,-1.343,3.479,1.099
-0.013,-0.971,-0.340,-0.488,5.554,1.709
-0.009,-0.968,-0.351,-0.244,6.531,2.380
-0.005,-0.973,-0.351,-0.366,4.517,1.831
-0.005,-0.969,-0.352,-0.732,2.258,0.366
-0.022,-0.961,-0.358,-0.732,0.244,-0.854
-0.020,-0.959,-0.379,-0.488,-1.587,-1.221
-0.016,-0.954,-0.398,-0.488,-3.784,-1.465
-0.024,-0.959,-0.391,-1.465,-5.371,-1.770
-0.021,-0.971,-0.384,-2.625,-4.822,-2.136

0.288,-0.615,1.933,85.449,-4.761,-26.123
0.281,-0.702,2.072,106.689,-2.869,-36.011
0.224,-0.709,2.214,128.723,-3.235,-43.701
0.154,-0.758,2.364,152.893,-12.817,-49.805
0.122,-0.774,2.558,177.551,-19.409,-49.988
0.131,-0.817,2.685,204.895,-16.968,-47.546
0.154,-0.847,2.683,232.361,-14.771,-48.035
0.212,-0.811,2.667,257.629,-22.766,-50.842
0.277,-0.730,2.574,289.062,-39.001,-56.702
0.275,-0.592,2.348,328.003,-51.025,-60.120
0.217,-0.442,2.056,356.506,-63.416,-65.430
0.047,-0.214,1.845,374.390,-75.867,-59.448
0.100,-0.125,1.735,379.822,-83.557,-68.420
0.076,-0.038,1.623,388.123,-88.135,-74.524
0.109,0.116,1.426,394.592,-89.966,-72.571
0.125,0.285,1.139,405.457,-87.158,-58.411
0.163,0.379,0.834,417.908,-83.862,-47.058
0.159,0.426,0.540,424.316,-80.505,-46.082
0.045,0.533,0.302,419.067,-70.068,-45.532
-0.023,0.558,0.055,398.987,-59.326,-44.678
-0.008,0.492,-0.156,373.047,-61.951,-42.297
0.023,0.468,-0.317,347.656,-75.623,-39.001
0.073,0.417,-0.513,327.576,-84.473,-37.720
0.062,0.352,-0.682,306.946,-87.341,-40.039
0.010,0.297,-0.881,286.133,-89.172,-37.842
0.019,0.259,-1.065,264.954,-90.881,-32.898
0.047,0.168,-1.210,239.685,-95.825,-30.579
0.059,0.099,-1.296,213.806,-97.107,-25.085
0.093,-0.019,-1.313,186.890,-89.172,-17.517
0.087,-0.117,-1.334,163.330,-75.928,-10.742
0.095,-0.191,-1.339,144.531,-61.646,-2.014
0.138,-0.200,-1.306,124.878,-51.392,2.808
0.105,-0.229,-1.289,109.131,-48.523,2.136
0.097,-0.284,-1.282,94.299,-50.354,1.221
0.097,-0.297,-1.272,81.726,-52.917,1.648
0.078,-0.354,-1.251,69.397,-50.476,1.343
0.098,-0.389,-1.189,53.772,-50.842,-0.305
0.103,-0.454,-1.151,40.771,-54.932,-2.441
0.113,-0.495,-1.137,29.724,-63.416,-4.150
0.124,-0.518,-1.089,19.104,-71.838,-7.202
0.120,-0.582,-1.047,13.367,-70.496,-8.850
0.108,-0.625,-1.007,11.719,-52.734,-4.944
0.094,-0.647,-0.975,9.949,-28.137,2.441
0.088,-0.651,-0.948,7.812,-6.226,11.108
0.100,-0.692,-0.913,2.258,5.737,16.968
0.106,-0.724,-0.832,-5.310,5.676,16.663
0.096,-0.764,-0.764,-12.085,-0.427,12.207
0.077,-0.795,-0.707,-15.686,-6.470,8.179
0.072,-0.806,-0.687,-16.846,-9.094,7.202
0.053,-0.802,-0.683,-17.273,-7.935,8.911
0.050,-0.820,-0.686,-18.250,-2.380,11.719
0.043,-0.833,-0.662,-20.752,2.136,12.817
0.005,-0.857,-0.614,-24.109,4.700,10.681
0.000,-0.875,-0.559,-25.818,8.179,7.874
-0.012,-0.878,-0.524,-25.024,9.949,4.944
-0.028,-0.887,-0.508,-23.315,8.057,2.747
-0.045,-0.909,-0.489,-22.278,4.333,2.197
-0.035,-0.927,-0.471,-20.569,4.333,2.930
-0.034,-0.936,-0.460,-17.822,6.531,3.662
-0.044,-0.937,-0.460,-15.137,10.803,4.028
-0.054,-0.937,-0.462,-13.794,14.587,3.967
-0.070,-0.926,-0.452,-13.367,15.320,3.357
-0.078,-0.924,-0.445,-13.306,11.719,2.563
-0.086,-0.936,-0.430,-13.245,5.432,3.235
-0.058,-0.954,-0.424,-13.245,3.113,3.784
-0.031,-0.961,-0.431,-10.864,5.432,4.578
-0.013,-0.945,-0.438,-7.568,8.972,4.639
0.003,-0.934,-0.453,-3.540,12.146,3.662
0.010,-0.931,-0.479,-0.488,12.329,1.587
-0.007,-0.908,-0.496,0.122,9.155,-1.221
-0.027,-0.889,-0.545,-1.038,6.348,-4.089
-0.028,-0.881,-0.565,-4.395,2.563,-5.371
-0.045,-0.886,-0.559,-9.338,0.000,-6.348
-0.058,-0.897,-0.536,-12.878,1.282,-6.287
-0.060,-0.903,-0.493,-14.099,6.287,-3.662
-0.057,-0.903,-0.468,-11.169,10.315,-0.977
-0.053,-0.910,-0.475,-5.737,10.376,0.732
-0.049,-0.900,-0.485,-2.502,7.263,0.305
-0.036,-0.912,-0.500,-2.258,1.831,-0.854
-0.050,-0.900,-0.492,-3.784,-4.517,-2.319
-0.061,-0.912,-0.478,-4.578,-8.301,-3.113
-0.060,-0.919,-0.484,-3.906,-7.996,-3.052
-0.073,-0.910,-0.490,-3.845,-5.798,-2.930
-0.082,-0.903,-0.484,-5.859,-4.395,-2.197
-0.076,-0.913,-0.483,-6.775,-5.188,-1.343
-0.068,-0.915,-0.480,-6.531,-5.981,-0.366
-0.054,-0.926,-0.483,-6.226,-3.601,-0.671
-0.046,-0.915,-0.475,-6.165,-1.404,-0.610
-0.048,-0.922,-0.460,-4.639,0.000,-0.122
-0.057,-0.922,-0.465,-2.258,0.854,0.366
-0.062,-0.918,-0.478,-1.343,-0.427,0.610
-0.058,-0.920,-0.484,-1.953,-3.906,0.122
-0.054,-0.920,-0.488,-3.052,-8.118,-1.648
-0.057,-0.911,-0.486,-3.662,-11.475,-3.235
-0.073,-0.921,-0.477,-3.418,-10.986,-2.747
-0.061,-0.912,-0.490,-2.319,-5.493,-1.709
-0.067,-0.905,-0.488,-1.526,-1.282,-0.488
-0.045,-0.905,-0.499,-1.221,1.648,0.122
-0.026,-0.904,-0.500,-1.770,1.648,-0.366
-0.013,-0.900,-0.501,-2.136,-0.305,-1.648
-0.014,-0.904,-0.507,-2.502,-2.197,-2.869
-0.011,-0.899,-0.509,-3.906,-4.211,-3.418
-0.015,-0.902,-0.504,-5.798,-5.981,-3.479
-0.008,-0.917,-0.497,-7.385,-6.409,-3.235
-0.023,-0.922,-0.482,-7.141,-4.883,-2.502
-0.032,-0.919,-0.489,-4.883,-0.610,-1.038
-0.036,-0.904,-0.506,-2.319,4.517,1.282
-0.044,-0.903,-0.512,-1.648,6.897,2.991
-0.029,-0.911,-0.501,-3.174,6.287,2.930
-0.015,-0.926,-0.490,-4.333,4.639,1.404
-0.023,-0.928,-0.477,-5.371,1.892,-0.916
-0.035,-0.930,-0.468,-5.615,1.526,-2.686
-0.050,-0.923,-0.469,-5.371,2.686,-2.502
-0.055,-0.916,-0.475,-4.822,3.723,-1.892
-0.070,-0.916,-0.470,-4.761,4.517,-1.526
-0.075,-0.919,-0.464,-5.188,5.493,-0.977
-0.086,-0.908,-0.459,-4.944,5.859,-0.610
-0.104,-0.908,-0.458,-5.127,6.348,0.610
-0.102,-0.911,-0.470,-5.798,6.653,2.075

0.039,-0.831,1.743,91.125,-9.216,-12.329
